# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    5.560080134    3.078893039    3.421890731    3.414011671
    5.610161937    3.047009353    3.384733814    3.376569102
    5.660243740    3.015841217    3.348411110    3.339976424
    5.710325543    2.985367541    3.312898025    3.304208280
    5.760407346    2.955568009    3.278170861    3.269240251
    5.810489149    2.926423037    3.244206782    3.235048819
    5.860570952    2.897913748    3.210983773    3.201611326
    5.910652755    2.870021942    3.178480606    3.168905933
    5.960734558    2.842730060    3.146676806    3.136911589
    6.010816361    2.816021164    3.115552621    3.105607994
    6.060898164    2.789878910    3.085088987    3.074975567
    6.110979967    2.764287517    3.055267505    3.044995417
    6.161061770    2.739231753    3.026070408    3.015649312
    6.211143573    2.714696905    2.997480541    2.986919653
    6.261225376    2.690668759    2.969481329    2.958789445
    6.311307179    2.667133585    2.942056759    2.931242276
    6.361388982    2.644078111    2.915191356    2.904262290
    6.411470785    2.621489507    2.888870159    2.877834167
    6.461552588    2.599355370    2.863078704    2.851943097
    6.511634391    2.577663701    2.837803001    2.826574765
    6.561716194    2.556402898    2.813029519    2.801715327
    6.611797997    2.535561730    2.788745166    2.777351394
    6.661879800    2.515129334    2.764937270    2.753470013
    6.711961603    2.495095189    2.741593569    2.730058649
    6.762043406    2.475449114    2.718702189    2.707105173
    6.812125209    2.456181247    2.696251631    2.684597840
    6.862207012    2.437282037    2.674230759    2.662525279
    6.912288815    2.418742230    2.652628785    2.640876479
    6.962370618    2.400552863    2.631435255    2.619640773
    7.012452421    2.382705245    2.610640040    2.598807825
    7.062534224    2.365190955    2.590233318    2.578367621
    7.112616027    2.348001825    2.570205569    2.558310453
    7.162697830    2.331129939    2.550547561    2.538626910
    7.212779633    2.314567615    2.531250340    2.519307868
    7.262861436    2.298307403    2.512305220    2.500344478
    7.312943239    2.282342076    2.493703773    2.481728156
    7.363025042    2.266664617    2.475437823    2.463450575
    7.413106845    2.251268220    2.457499430    2.445503653
    7.463188648    2.236146274    2.439880890    2.427879549
    7.513270451    2.221292362    2.422574722    2.410570649
    7.563352254    2.206700253    2.405573660    2.393569564
    7.613434057    2.192363893    2.388870649    2.376869115
    7.663515860    2.178277403    2.372458833    2.360462334
    7.713597663    2.164435071    2.356331555    2.344342450
    7.763679466    2.150831344    2.340482341    2.328502886
    7.813761269    2.137460828    2.324904903    2.312937250
    7.863843072    2.124318279    2.309593126    2.297639330
    7.913924875    2.111398596    2.294541068    2.282603090
    7.964006678    2.098696823    2.279742949    2.267822660
    8.014088481    2.086208138    2.265193148    2.253292333
