mu_eV,PF_W_per_mK2
0.387028,6.34889e-06
0.399939,9.42742e-06
0.412865,1.39055e-05
0.425777,2.03673e-05
0.438702,2.95987e-05
0.451614,4.26426e-05
0.464539,6.08159e-05
0.477451,8.57182e-05
0.490377,0.000119133
0.503302,0.000162797
0.516214,0.000218043
0.529139,0.000285148
0.542051,0.000362803
0.554976,0.000448222
0.567888,0.000538741
0.580814,0.000635237
0.593725,0.000744996
0.606651,0.000879397
0.619563,0.0010435
0.632488,0.00122333
0.6454,0.00138677
0.658325,0.0015026
0.671251,0.00155355
0.684163,0.00153038
0.697088,0.00143307
0.71,0.00128639
0.722925,0.00113171
0.735837,0.000994188
0.748762,0.000873727
0.761674,0.00076626
0.7746,0.000676714
0.787511,0.000615287
0.800437,0.000598245
0.813349,0.000647768
0.826274,0.000770889
0.839186,0.000927229
0.852111,0.00104128
0.865037,0.0010829
0.877948,0.0011009
0.890874,0.00114551
0.903786,0.00118641
0.916711,0.00111381
0.929623,0.000845716
0.942548,0.000465228
0.95546,0.000167954
0.968386,3.83643e-05
0.981297,7.23502e-06
0.994223,1.66059e-06
1.00713,4.75071e-08
1.02006,8.44186e-06
1.03299,3.95984e-05
1.0459,8.66063e-05
1.05882,0.000120761
1.07173,0.000107716
1.08466,4.0075e-05
1.09757,3.16679e-06
1.1105,0.000164159
1.12341,0.000559927
1.13633,0.000958306
1.14925,0.00109919
1.16217,0.000962288
1.17508,0.000711385
1.18801,0.000503628
1.20093,0.000404103
1.21385,0.000419215
1.22677,0.000547856
1.23968,0.000785162
1.25261,0.00109862
1.26552,0.00140763
1.27845,0.00157094
1.29136,0.00144588
1.30428,0.00102296
1.31719,0.000477473
1.33012,7.96651e-05
1.34303,2.18309e-05
1.35596,0.000280829
1.36887,0.000670864
1.38179,0.000979565
1.39472,0.00105181
1.40763,0.000867532
1.42056,0.000560562
1.43347,0.000294513
1.44639,0.000135067
1.45931,6.01185e-05
1.47223,3.2037e-05
1.48514,3.15496e-05
1.49807,6.24717e-05
1.51098,0.000142726
1.52391,0.000261524
1.53682,0.000358221
1.54974,0.000384697
1.56267,0.000363612
1.57558,0.000356933
1.58851,0.00041524
1.60142,0.000565271
1.61434,0.000792508
1.62726,0.00100994
1.64018,0.00109317
1.65309,0.0010012
1.66602,0.000820398
1.67893,0.000648226
1.69185,0.000498653
1.70477,0.000336466
1.71769,0.000158221
1.7306,2.6438e-05
1.74353,7.05939e-06
1.75645,8.29492e-05
1.76937,0.000173175
1.78229,0.000218745
