# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000 1566.804865958 1098.275171446 1129.306691417
    8.014088481    0.035350337    0.041069297    0.036115149
    8.064170284    0.034158621    0.039698646    0.035134422
    8.114252087    0.033067349    0.038438850    0.034203992
    8.164333890    0.032057162    0.037269963    0.033318906
    8.214415693    0.031114574    0.036177695    0.032475004
    8.264497496    0.030229741    0.035151381    0.031668752
    8.314579299    0.029395197    0.034182794    0.030897113
    8.364661102    0.028605099    0.033265406    0.030157448
    8.414742905    0.027854754    0.032393924    0.029447447
    8.464824708    0.027140308    0.031563969    0.028765073
    8.514906511    0.026458541    0.030771857    0.028108510
    8.564988314    0.025806718    0.030014451    0.027476139
    8.615070117    0.025182489    0.029289044    0.026866500
    8.665151920    0.024583807    0.028593273    0.026278273
    8.715233723    0.024008878    0.027925065    0.025710258
    8.765315526    0.023456111    0.027282577    0.025161363
    8.815397329    0.022924088    0.026664168    0.024630584
    8.865479132    0.022411536    0.026068361    0.024117001
    8.915560935    0.021917305    0.025493823    0.023619763
    8.965642738    0.021440352    0.024939344    0.023138085
    9.015724541    0.020979726    0.024403821    0.022671238
    9.065806344    0.020534558    0.023886244    0.022218543
    9.115888147    0.020104047    0.023385686    0.021779369
    9.165969950    0.019687458    0.022901292    0.021353125
    9.216051753    0.019284109    0.022432270    0.020939260
    9.266133556    0.018893370    0.021977890    0.020537256
    9.316215359    0.018514653    0.021537469    0.020146625
    9.366297162    0.018147413    0.021110374    0.019766912
    9.416378965    0.017791139    0.020696012    0.019397683
    9.466460768    0.017445355    0.020293831    0.019038533
    9.516542571    0.017109613    0.019903311    0.018689077
    9.566624374    0.016783495    0.019523965    0.018348951
    9.616706177    0.016466607    0.019155336    0.018017812
    9.666787980    0.016158577    0.018796993    0.017695334
    9.716869783    0.015859056    0.018448530    0.017381206
    9.766951586    0.015567713    0.018109563    0.017075135
    9.817033389    0.015284237    0.017779729    0.016776841
    9.867115192    0.015008332    0.017458687    0.016486058
    9.917196995    0.014739720    0.017146111    0.016202533
    9.967278798    0.014478136    0.016841694    0.015926026
   10.017360601    0.014223328    0.016545143    0.015656306
