# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000 1040.987373728  839.217161652 2108.725033738
    5.560080134    1.918422800    2.475483401    0.679616130
    5.610161937    2.107975067    2.359458627    0.693039699
    5.660243740    2.091900170    2.100090012    0.694874868
    5.710325543    1.847815625    1.835661431    0.699508972
    5.760407346    1.519371315    1.615709082    0.732510166
    5.810489149    1.244928356    1.426823508    0.803714364
    5.860570952    1.065847930    1.217720444    0.832367399
    5.910652755    0.952267596    1.046029179    0.720393405
    5.960734558    0.910036935    0.970369002    0.633486755
    6.010816361    0.900437078    0.971000242    0.611280300
    6.060898164    0.885682352    0.986159795    0.620653015
    6.110979967    0.853489493    0.931028313    0.620085174
    6.161061770    0.811414626    0.866598614    0.621044270
    6.211143573    0.753910262    0.837877340    0.611744138
    6.261225376    0.685601057    0.835662297    0.586386026
    6.311307179    0.619359548    0.822570720    0.538475913
    6.361388982    0.565005605    0.783898574    0.473833030
    6.411470785    0.522475214    0.713415934    0.401197563
    6.461552588    0.487342684    0.618184177    0.366633982
    6.511634391    0.487440264    0.553845661    0.380967296
    6.561716194    0.510629085    0.521023333    0.367111656
    6.611797997    0.510393462    0.487927935    0.306084898
    6.661879800    0.486102893    0.450552011    0.238461331
    6.711961603    0.456330434    0.420805749    0.192562518
    6.762043406    0.419098694    0.394452851    0.167119076
    6.812125209    0.389945157    0.379747970    0.152957715
    6.862207012    0.362895760    0.370777936    0.147818151
    6.912288815    0.319271484    0.347263835    0.154161523
    6.962370618    0.283595062    0.319214958    0.168269181
    7.012452421    0.257367242    0.296124247    0.171356280
    7.062534224    0.242408917    0.281545940    0.160914672
    7.112616027    0.245140812    0.278071019    0.156237218
    7.162697830    0.255430751    0.290830281    0.144493891
    7.212779633    0.249300871    0.296769355    0.125079132
    7.262861436    0.219034634    0.259117588    0.114538697
    7.312943239    0.182679231    0.204998060    0.101158980
    7.363025042    0.161281841    0.172325222    0.085672824
    7.413106845    0.145552200    0.154288735    0.076277790
    7.463188648    0.136230745    0.139501824    0.068344665
    7.513270451    0.135228996    0.127686978    0.060100977
    7.563352254    0.131255602    0.118831844    0.054025602
