# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    4.157789649    4.453762364    4.964328958    4.764616136
    4.207871452    4.386891391    4.887841266    4.691933921
    4.257953255    4.321909925    4.813507785    4.621294275
    4.308035058    4.258748102    4.741249054    4.552621722
    4.358116861    4.197339247    4.670989233    4.485844268
    4.408198664    4.137619693    4.602655903    4.420893216
    4.458280467    4.079528629    4.536179884    4.357702973
    4.508362270    4.023007938    4.471495063    4.296210888
    4.558444073    3.968002063    4.408538232    4.236357088
    4.608525876    3.914457870    4.347248935    4.178084329
    4.658607679    3.862324521    4.287569328    4.121337859
    4.708689482    3.811553359    4.229444041    4.066065285
    4.758771285    3.762097796    4.172820055    4.012216451
    4.808853088    3.713913208    4.117646585    3.959743324
    4.858934891    3.666956836    4.063874963    3.908599881
    4.909016694    3.621187695    4.011458537    3.858742013
    4.959098497    3.576566487    3.960352570    3.810127429
    5.009180301    3.533055516    3.910514149    3.762715560
    5.059262104    3.490618613    3.861902093    3.716467481
    5.109343907    3.449221061    3.814476872    3.671345829
    5.159425710    3.408829529    3.768200530    3.627314727
    5.209507513    3.369412001    3.723036607    3.584339711
    5.259589316    3.330937717    3.678950070    3.542387668
    5.309671119    3.293377118    3.635907250    3.501426770
    5.359752922    3.256701784    3.593875774    3.461426413
    5.409834725    3.220884387    3.552824509    3.422357163
    5.459916528    3.185898638    3.512723503    3.384190700
    5.509998331    3.151719242    3.473543936    3.346899769
    5.560080134    3.118321853    3.435258065    3.310458133
    5.610161937    3.085683031    3.397839178    3.274840525
    5.660243740    3.053780203    3.361261547    3.240022607
    5.710325543    3.022591624    3.325500389    3.205980928
    5.760407346    2.992096343    3.290531819    3.172692889
    5.810489149    2.962274164    3.256332816    3.140136698
    5.860570952    2.933105619    3.222881184    3.108291345
    5.910652755    2.904571935    3.190155517    3.077136561
    5.960734558    2.876655002    3.158135165    3.046652793
    6.010816361    2.849337350    3.126800204    3.016821169
    6.060898164    2.822602116    3.096131403    2.987623471
    6.110979967    2.796433026    3.066110200    2.959042110
    6.161061770    2.770814365    3.036718668    2.931060098
    6.211143573    2.745730957    3.007939495    2.903661024
    6.261225376    2.721168141    2.979755956    2.876829030
    6.311307179    2.697111754    2.952151888    2.850548791
    6.361388982    2.673548106    2.925111672    2.824805492
    6.411470785    2.650463965    2.898620207    2.799584807
    6.461552588    2.627846538    2.872662892    2.774872884
    6.511634391    2.605683452    2.847225606    2.750656318
    6.561716194    2.583962739    2.822294688    2.726922144
