mu_eV,T_K,PF_W_per_mK2
-4.40116,400,2.35892e-07
-4.40116,500,2.5603e-06
-4.40116,600,1.20657e-05
-4.38823,300,6.83917e-10
-4.38823,400,1.6908e-07
-4.38823,500,1.99272e-06
-4.38823,600,9.8718e-06
-4.37532,300,2.0347e-10
-4.37532,400,1.2125e-07
-4.37532,500,1.54867e-06
-4.37532,600,8.06729e-06
-4.36239,300,0
-4.36239,400,8.64141e-08
-4.36239,500,1.20184e-06
-4.36239,600,6.58536e-06
-4.34947,300,0
-4.34947,400,6.20034e-08
-4.34947,500,9.3092e-07
-4.34947,600,5.36895e-06
-4.33656,300,0
-4.33656,400,4.29216e-08
-4.33656,500,7.21321e-07
-4.33656,600,4.37262e-06
-4.32363,300,0
-4.32363,400,2.73748e-08
-4.32363,500,5.57784e-07
-4.32363,600,3.55636e-06
-4.31071,300,0
-4.31071,400,1.91467e-08
-4.31071,500,4.30431e-07
-4.31071,600,2.88999e-06
-4.29778,300,0
-4.29778,400,1.36661e-08
-4.29778,500,3.32153e-07
-4.29778,600,2.34544e-06
-4.28487,300,0
-4.28487,400,9.37474e-09
-4.28487,500,2.54449e-07
-4.28487,600,1.90153e-06
-4.27194,300,0
-4.27194,400,5.59459e-09
-4.27194,500,1.93815e-07
-4.27194,600,1.54135e-06
-4.25902,300,0
-4.25902,400,2.90565e-09
-4.25902,500,1.48924e-07
-4.25902,600,1.2485e-06
-4.24611,300,0
-4.24611,400,1.0703e-09
-4.24611,500,1.12303e-07
-4.24611,600,1.01006e-06
-4.23318,300,0
-4.23318,400,6.55187e-10
-4.23318,500,8.48438e-08
-4.23318,600,8.14707e-07
-4.22026,300,0
-4.22026,400,3.48372e-10
-4.22026,500,6.43399e-08
-4.22026,600,6.56362e-07
-4.20733,300,0
-4.20733,400,1.09311e-10
-4.20733,500,4.83843e-08
-4.20733,600,5.28226e-07
-4.19442,300,0
-4.19442,400,0
-4.19442,500,3.68888e-08
-4.19442,600,4.24177e-07
-4.18149,300,0
