mu_eV,PF_W_per_mK2
3.3517,0.000465258
3.36461,0.000403776
3.37753,0.000277608
3.39046,0.000123627
3.40338,1.23557e-05
3.4163,3.40263e-05
3.42922,0.000267348
3.44215,0.000744316
3.45506,0.00142935
3.46798,0.00222297
3.48091,0.00298722
3.49383,0.0035812
3.50675,0.0038938
3.51967,0.00386568
3.5326,0.00349819
3.54551,0.00285209
3.55843,0.00204049
3.57136,0.00121455
3.58427,0.000533973
3.5972,0.000118362
3.61012,6.06751e-07
3.62305,0.000119859
3.63596,0.000362503
3.64888,0.000615579
3.66181,0.000797797
3.67472,0.000865273
3.68765,0.000806884
3.70057,0.000640385
3.7135,0.00040992
3.72641,0.000180603
3.73934,2.69822e-05
3.75226,1.65684e-05
3.76517,0.000191457
3.7781,0.000552067
3.79102,0.00104931
3.80394,0.00159249
3.81686,0.00207426
3.82979,0.002403
3.84271,0.00252876
3.85562,0.00245268
3.86855,0.00221919
3.88147,0.00189657
3.89439,0.00155382
3.90731,0.001242
3.92024,0.000986299
3.93316,0.00078889
3.94607,0.000637626
3.959,0.00051523
3.97193,0.00040607
3.98484,0.000300835
3.99776,0.000198994
4.01069,0.000108317
4.02361,4.0509e-05
4.03652,4.81859e-06
4.04945,3.47795e-06
4.06238,3.17853e-05
4.07529,8.1764e-05
4.08821,0.000145871
4.10114,0.000218156
4.11405,0.000292806
4.12698,0.000361845
4.1399,0.000414055
4.15283,0.000436829
4.16574,0.000420926
4.17866,0.000365794
4.19159,0.0002818
4.2045,0.000187168
4.21743,0.000101325
4.23035,3.86976e-05
4.24328,5.76249e-06
4.25619,1.40401e-06
4.26911,1.91687e-05
4.28204,5.00788e-05
4.29495,8.52801e-05
4.30788,0.000118089
4.3208,0.000145108
4.33371,0.000166254
4.34664,0.00018379
4.35956,0.000200754
4.37249,0.000219198
4.3854,0.000238577
4.39833,0.000254725
4.41125,0.000260192
4.42416,0.000246812
4.43709,0.000210207
4.45002,0.000153984
4.46294,9.05505e-05
4.47585,3.6783e-05
